#WALK LEFT
2011	27	350	48	377	0
#WALK RIGHT
2012	473	350	494	377	1

#RUN LEFT 1
2021	53	350	76	377	0
#RUN RIGHT 1
2022	445	350	468	377	1
#RUN LEFT 2
2023	131	350	154	377	0
#RUN RIGHT 2
2024	367	350	390	377	1
#RUN LEFT 3
2025	157	350	180	377	0
#RUN RIGHT 3
2026	341	350	364	377	1

#JUMP LEFT
2031	105	349	128	376	0
#JUMP RIGHT
2032	393	349	416	376	1

#SIT LEFT
2041	79	360	100	377	0
#SIT RIGHT
2042	421	360	442	377	1

#BRACE LEFT
2051	339	348	354	379	0
#BRACE RIGHT
2052	167	348	182	379	1

#ATTACK RIGHT
2061	123	350	146	377	1
#ATTACK REAR
2062	357	350	372	377	0
#ATTACK LEFT
2063	375	350	398	377	0
#ATTACK FRONT
2064	401	350	416	377	0

#CARRY LEFT
2071	1	384	22	411	0
#CARRY RIGHT
2072	499	384	520	411	1

#WALK CARRY LEFT
2081	27	384	48	411	0
#WALK CARRY RIGHT
2082	473	384	494	411	1

#RUN CARRY LEFT
2091	53	383	76	410	0
#RUN CARRY RIGHT
2092	445	383	468	410	1

#KICK LEFT
2101	81	384	102	411	0
#KICK RIGHT
2102	419	384	440	411	1

#SUPER RUN LEFT 1
2111	183	350	206	377	0
#SUPER RUN RIGHT 1
2112	315	350	338	377	1
#SUPER RUN LEFT 2
2121	209	350	232	377	0
#SUPER RUN RIGHT 2
2122	289	350	312	377	1
#SUPER RUN LEFT 3
2131	235	349	258	376	0
#SUPER RUN RIGHT 3
2132	263	349	286	376	1

#SUPER JUMP LEFT 1
2211	261	350	284	377	0
#SUPER JUMP RIGHT 1
2212	237	350	260	377	1
#SUPER JUMP LEFT 2
2221	287	350	310	377	0
#SUPER JUMP RIGHT 2
2222	211	350	234	377	1
#SUPER JUMP LEFT 3
2231	313	350	336	377	0
#SUPER JUMP RIGHT 3
2232	185	350	208	377	1

#PIPE ENTRY
2141	357	350	372	377	0

#FINISHED (ALWAYS RIGHT)
2320	473	350	494	377	1
2321	500	350	520	377	1

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
################### SMALL #################
#IDLE LEFT & RIGHT
0	1	100
1	2	100

#JUMP LEFT & RIGHT
10	21	100
11	22	100

#SUPER JUMP LEFT & RIGHT
15	90	20
16	91	20

#RUN LEFT & RIGHT
40	1	100	11	100
41	2	100	12	100

#SUPER RUN LEFT & RIGHT
45	80	20	82	20
46	81	20	83	20

#BRACE LEFT & RIGHT
50	31	100
51	32	100

#KICK LEFT & RIGHT
90	61	100
91	62	100

#CARRY SHELL LEFT & RIGHT
100	41	100
101	42	100

#JUMP CARRY LEFT & RIGHT
110	51	100
111	52	100

#RUN CARRY SHELL LEFT & RIGHT
140	41	100	51	100
141	42	100	52	100

#LEVEL UP LEFT & RIGHT
60	1	60	1003	60	1	60	1003	60	1	60	1003	60	1	60	1003	60	1	60	1003	60
61	2	60	1004	60	2	60	1004	60	2	60	1004	60	2	60	1004	60	2	60	1004	60

#DIE
999	70	100

#PIPE ENTRY
212	100	100

#FINISHED
300	130	60	131	60
301	130	60	131	60

################### BIG #################
#IDLE LEFT & RIGHT
1000	1001	100
1001	1002	100

#JUMP LEFT & RIGHT
1010	1031	100
1011	1032	100

#SUPER JUMP LEFT & RIGHT
1015	1201	20
1016	1202	20

#FALL LEFT & RIGHT
1020	1021	100
1021	1022	100

#SUPER FALL LEFT & RIGHT
1025	1201	100
1026	1202	100

#SIT LEFT & RIGHT
1030	1041	100
1031	1042	100

#RUN LEFT & RIGHT
1040	1001	100	1011	100	1021	100	1011	100
1041	1002	100	1012	100	1022	100	1012	100

#SUPER RUN LEFT & RIGHT
1045	1101	20	1111	20	1121	20	1111	20
1046	1102	20	1112	20	1122	20	1112	20

#BRACE LEFT & RIGHT
1050	1051	100
1051	1052	100

#KICK LEFT & RIGHT
1090	1091	100
1091	1092	100

#CARRY LEFT & RIGHT
1100	1061	100
1101	1062	100

#JUMP CARRY LEFT & RIGHT
1110	1081	100
1111	1082	100

#FALL CARRY LEFT & RIGHT
1120	1081	100
1121	1082	100

#RUN CARRY LEFT & RIGHT
1140	1061	100	1071	100	1081	100	1071	100
1141	1062	100	1072	100	1082	100	1072	100

#LEVEL UP LEFT & RIGHT
1062	60003	60	60004	60	60001	60	60002	60

#LEVEL DOWN LEFT & RIGHT
1070	1001	30	60000	30	1003	30	60000	30	1001	30	60000	30	1003	30	60000	30	1001	30	60000	30	1003	30	60000	30	1001	30	60000	30	1003	30	60000	30	1001	30	60000	30	1003	30	60000	30	1001	30	60000	30	1003	30	60000	30
1071	1002	30	60000	30	1004	30	60000	30	1002	30	60000	30	1004	30	60000	30	1002	30	60000	30	1004	30	60000	30	1002	30	60000	30	1004	30	60000	30	1002	30	60000	30	1004	30	60000	30	1002	30	60000	30	1004	30	60000	30

#PIPE ENTRY
1212	1210	100

#FINISHED
1300	1310	60	1311	60
1301	1310	60	1311	60

################### RACOON #################
#IDLE LEFT & RIGHT
2000	2001	100
2001	2002	100

#JUMP LEFT & RIGHT
2010	2031	100
2011	2032	100

#SUPER JUMP LEFT & RIGHT
2015	2211	100
2016	2212	100

#FALL LEFT & RIGHT
2020	2023	100
2021	2024	100

#SUPER FALL LEFT & RIGHT
2025	2231	100
2026	2232	100

#SIT LEFT & RIGHT
2030	2041	100
2031	2042	100

#RUN LEFT & RIGHT
2040	2001	100	2011	100	2021	100	2011	100
2041	2002	100	2012	100	2022	100	2012	100

#SUPER RUN LEFT & RIGHT
2045	2111	20	2121	20	2131	20	2121	20
2046	2112	20	2122	20	2132	20	2122	20

#BRACE LEFT & RIGHT
2050	2051	100
2051	2052	100

#KICK LEFT & RIGHT
2090	2101	100
2091	2102	100

#CARRY LEFT & RIGHT
2100	2071	100
2101	2072	100

#JUMP CARRY LEFT & RIGHT
2110	2091	100
2111	2092	100

#FALL CARRY LEFT & RIGHT
2120	2091	100
2121	2092	100

#RUN CARRY LEFT & RIGHT
2140	2071	100	2081	100	2091	100	2081	100
2141	2072	100	2082	100	2092	100	2082	100

#LEVEL DOWN LEFT & RIGHT
2072	60003	60	60004	60	60001	60	60002	60

#ATTACK LEFT
2080	2063	60
#ATTACK REAR
2082	2062	60
#ATTACK RIGHT
2081	2061	60
#ATTACK FRONT
2083	2064	60

#FLY LEFT
2200	2231	50	2211	50	2221	50
#FLY RIGHT
2201	2232	50	2212	50	2222	50

#PARACHUTE LEFT
2205	2025	50	2023	50	2021	50
#PARACHUTE RIGHT
2206	2026	50	2024	50	2022	50

#PIPE ENTRY
2212	2062	100

#FINISHED
2300	2320	60	2321	60
2301	2320	60	2321	60
